File,Option,Concept
docker-compose.yml,gateway.links,docker-compose
config/pom.xml,project.repositories.repository.url,maven
auth-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.executions.execution.goals.goal,maven
notification-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
pom.xml,project.modules.module,maven
config/pom.xml,project.repositories.repository.id,maven
config/pom.xml,project.repositories.repository.snapshots.enabled,maven
pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
statistics-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.executions.execution.goals.goal,maven
notification-service/pom.xml,project.repositories.repository.name,maven
gateway/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
mongodb/Dockerfile,ADD.src,docker
notification-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.executions.execution.goals.goal,maven
notification-service/pom.xml,project.repositories.repository.url,maven
mongodb/Dockerfile,ADD.dest,docker
notification-service/pom.xml,project.repositories.repository.snapshots.enabled,maven
monitoring/Dockerfile,EXPOSE,docker
pom.xml,project.build.pluginManagement.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
notification-service/pom.xml,project.repositories.repository.id,maven
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
docker-compose.yml,account-service.links,docker-compose
auth-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
registry/pom.xml,project.repositories.repository.name,maven
registry/pom.xml,project.repositories.repository.url,maven
pom.xml,project.dependencies.dependency.log4j:log4j:${log4j.version}.exclusions.exclusion.groupId,maven
pom.xml,project.dependencies.dependency.log4j:log4j:${log4j.version}.exclusions.exclusion.artifactId,maven
docker-compose.yml,services.monitoring.ports.host,docker-compose
docker-compose.yml,services.monitoring.ports.container,docker-compose
account-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.6.201602180812.executions.execution.goals.goal,maven
registry/pom.xml,project.repositories.repository.id,maven
statistics-service/pom.xml,project.build.plugins.plugin.org.jacoco:jacoco-maven-plugin:0.7.5.201505241946.executions.execution.goals.goal,maven
config/pom.xml,project.repositories.repository.name,maven
registry/pom.xml,project.repositories.repository.snapshots.enabled,maven
.travis.yml,after_success,travis
