ecosystem,entropy,entropy_normalized,num_projects
-1,3.9773617040348457,0.8445347060151634,221
15,3.9456336981456706,0.8377977270527324,154
3,3.7102675315284968,0.7878211568734844,22
13,3.705346523628051,0.7867762526707097,14
11,3.7039742782362075,0.786484876390447,11
21,3.7011927329854943,0.7858942558546792,19
16,3.696937444689046,0.7849907074932604,32
8,3.6882368618906365,0.7831432657259297,12
26,3.5012870507384113,0.7434472019656568,14
5,3.4802298428445697,0.7389760112112216,14
30,3.4667948413816254,0.7361232847419867,19
27,3.4251638129894957,0.7272835434912504,23
4,3.394398112993949,0.7207508961399341,5
12,3.3617086770100904,0.7138097715295113,6
24,3.3430283900701085,0.7098432852471266,6
14,3.3389980737389253,0.7089875063989391,7
9,3.324638408485508,0.7059384410697868,6
25,3.2742959650886636,0.6952489579908129,6
42,3.1365519255869847,0.6660010216545525,19
10,3.128620949980629,0.6643169947416036,5
29,3.0572295914391336,0.6491580817524477,13
6,3.052520501533812,0.648158175242875,6
28,3.0220925128358287,0.6416972359565095,8
35,2.991037094831399,0.6351030712146047,12
37,2.9845948370318793,0.6337351517992617,18
32,2.8471272637373217,0.6045459190269032,11
1,2.8389889331546994,0.6028178633112069,6
38,2.767666963820427,0.5876736841074303,27
41,2.760629583241045,0.586179399055936,15
18,2.730632919046993,0.5798100452325561,9
7,2.659322697709517,0.5646683605444304,5
34,2.5910876708146753,0.5501796485120014,5
43,2.4992993491819373,0.530689738115597,9
44,2.4819467260078225,0.527005161855893,22
33,2.469504852983402,0.5243633117153091,5
2,2.458311329683084,0.5219865304182705,6
51,2.4553850933191184,0.5213651868364519,7
36,2.361321152557342,0.5013920819319405,5
31,2.1400896749459624,0.4544168066593173,6
52,2.1338206579613814,0.45308567240247904,19
45,2.0846926288550285,0.4426540524730298,12
47,1.8719980081611016,0.3974914541665876,17
55,1.8498446757428675,0.392787517367953,11
19,1.7072148076072267,0.3625021466326944,13
53,1.6899307350591808,0.35883212609790105,7
39,1.6279170784182244,0.345664431234478,5
54,1.5363973097395245,0.32623154413818173,9
46,1.3892651269081688,0.29499017259110966,6
56,1.3640743214427378,0.28964127272453455,7
50,1.1633831429151944,0.24702743016511752,22
40,1.0986122886681096,0.23327428463288669,7
48,0.6931471805599453,0.14717968691798525,6
49,0.6931471805599453,0.14717968691798525,7
23,-0.0,-0.0,24
0,0.0,0.0,37
17,-0.0,-0.0,8
20,-0.0,-0.0,7
22,-0.0,-0.0,9
